id,rating,review,track
1,100,611,1
2,95,611,2
3,88,611,3
4,100,611,4
5,69,611,5
6,78,611,6
7,84,611,7
8,100,611,8
9,98,611,9
10,100,611,10
11,100,611,11
12,100,517,1
13,90,517,2
14,85,517,3
15,90,517,4
16,50,517,5
17,81,517,6
18,70,517,7
19,100,517,8
20,80,517,9
21,100,517,10
22,73,517,11
23,80,325,1
24,70,325,2
25,70,325,3
26,80,325,4
27,55,325,5
28,65,325,6
29,60,325,7
30,80,325,8
31,75,325,9
32,75,325,10
33,95,325,11
34,85,37,1
35,100,37,2
36,86,37,3
37,67,37,4
38,67,37,5
39,100,37,6
40,81,37,7
41,90,37,8
42,88,37,9
43,100,37,10
44,90,37,11
45,71,280,1
46,75,280,2
47,82,280,3
48,78,280,4
49,70,280,5
50,73,280,6
51,80,280,7
52,83,280,8
53,90,280,9
54,95,280,10
55,75,280,11
56,87,370,1
57,85,370,2
58,90,370,3
59,100,370,4
60,50,370,5
61,80,370,6
62,75,370,7
63,100,370,8
64,100,370,9
65,100,370,10
66,100,370,11
67,85,313,1
68,85,313,2
69,85,313,3
70,95,313,4
71,70,313,5
72,80,313,6
73,70,313,7
74,80,313,8
75,85,313,9
76,90,313,10
77,90,313,11
78,85,718,1
79,85,718,2
80,80,718,3
81,80,718,4
82,80,718,5
83,90,718,6
84,90,718,7
85,85,718,8
86,80,718,9
87,90,718,10
88,80,718,11
89,75,329,12
90,70,329,13
91,65,329,14
92,75,329,15
93,70,329,16
94,70,329,17
95,55,329,18
96,80,329,19
97,70,329,20
98,40,329,21
99,60,329,22
100,70,329,23
101,100,606,12
102,100,606,13
103,85,606,14
104,100,606,15
105,92,606,16
106,88,606,17
107,79,606,18
108,100,606,19
109,98,606,20
110,85,606,21
111,74,606,22
112,87,606,23
113,85,306,12
114,80,306,13
115,85,306,14
116,100,306,15
117,85,306,16
118,100,306,17
119,80,306,18
120,80,306,19
121,95,306,20
122,100,306,21
123,90,306,22
124,98,306,23
125,78,618,12
126,77,618,13
127,84,618,14
128,91,618,15
129,70,618,16
130,96,618,17
131,42,618,18
132,90,618,19
133,87,618,20
134,98,618,21
135,81,618,22
136,66,618,23
137,100,633,12
138,95,633,13
139,89,633,14
140,96,633,15
141,98,633,16
142,90,633,17
143,70,633,18
144,100,633,19
145,63,633,20
146,80,633,21
147,75,633,22
148,90,633,23
149,64,122,12
150,71,122,13
151,78,122,14
152,94,122,15
153,69,122,16
154,96,122,17
155,60,122,18
156,95,122,19
157,67,122,20
158,82,122,21
159,68,122,22
160,65,122,23
161,92,518,12
162,71,518,13
163,96,518,14
164,100,518,15
165,90,518,16
166,100,518,17
167,70,518,18
168,100,518,19
169,81,518,20
170,100,518,21
171,69,518,22
172,100,518,23
173,100,433,12
174,80,433,13
175,90,433,14
176,95,433,15
177,85,433,16
178,75,433,17
179,73,433,18
180,100,433,19
181,87,433,20
182,100,433,21
183,70,433,22
184,87,433,23
185,65,663,12
186,84,663,13
187,97,663,14
188,100,663,15
189,85,663,16
190,96,663,17
191,71,663,18
192,50,663,19
193,63,663,20
194,72,663,21
195,87,663,22
196,94,663,23
197,70,69,12
198,80,69,13
199,75,69,14
200,70,69,15
201,30,69,16
202,60,69,17
203,50,69,18
204,40,69,19
205,50,69,20
206,80,69,21
207,60,69,22
208,50,69,23
209,80,199,12
210,75,199,13
211,72,199,14
212,100,199,15
213,68,199,16
214,100,199,17
215,65,199,18
216,70,199,19
217,55,199,20
218,85,199,21
219,68,199,22
220,90,199,23
221,85,721,12
222,85,721,13
223,100,721,14
224,100,721,15
225,80,721,16
226,85,721,17
227,85,721,18
228,65,721,19
229,80,721,20
230,70,721,21
231,55,721,22
232,90,721,23
233,100,28,12
234,80,28,13
235,95,28,14
236,100,28,15
237,80,28,16
238,100,28,17
239,79,28,18
240,100,28,19
241,90,28,20
242,96,28,21
243,87,28,22
244,85,28,23
245,90,364,12
246,70,364,13
247,100,364,14
248,100,364,15
249,88,364,16
250,100,364,17
251,85,364,18
252,100,364,19
253,100,364,20
254,100,364,21
255,65,364,22
256,96,364,23
257,70,289,12
258,75,289,13
259,70,289,14
260,95,289,15
261,70,289,16
262,85,289,17
263,40,289,18
264,80,289,19
265,55,289,20
266,72,289,21
267,80,289,22
268,78,289,23
269,76,557,24
270,87,557,25
271,79,557,26
272,97,557,27
273,71,557,28
274,73,557,29
275,79,557,30
276,83,557,31
277,70,557,32
278,63,557,33
279,70,557,34
280,66,557,35
281,65,557,36
282,70,557,37
283,59,557,38
284,79,557,39
285,78,624,24
286,83,624,25
287,77,624,26
288,95,624,27
289,70,624,28
290,83,624,29
291,73,624,30
292,76,624,31
293,79,624,32
294,66,624,33
295,71,624,34
296,67,624,35
