1,Mariah Carey,https://lastfm.freetls.fastly.net/i/u/770x0/97f81c90a2e13e552726110dae3a5bb9.jpg,11,26,
2,"Thank U, Next",https://lastfm.freetls.fastly.net/i/u/770x0/71f67dcd8d59ad01b70aaa0f6aa7a47f.jpg#71f67dcd8d59ad01b70aaa0f6aa7a47f,12,4,
3,Songs In A Minor,https://lastfm.freetls.fastly.net/i/u/500x500/3025342fa2d219cfdfcaffed1d483b47.jpg,16,2,
4,Fever,https://lastfm.freetls.fastly.net/i/u/500x500/eb272ecc9acd4dcda72cfa30b274622e.jpg,12,20,
5,ARTPOP,https://lastfm.freetls.fastly.net/i/u/500x500/15ef1c034e1f6a71d0d69d3b6f5c534f.jpg,15,21,
6,Red,https://lastfm.freetls.fastly.net/i/u/500x500/ad99371a89ed925f63ee3737b4bf9908.jpg,17,36,
7,My Everything,https://lastfm.freetls.fastly.net/i/u/500x500/e6976a07ab1b39c9d6b363572361bbf2.jpg,12,4,
8,Blackout,https://lastfm.freetls.fastly.net/i/u/500x500/14fd482a952674924abffe96b63d2550.jpg,12,8,
9,Dirty Computer,https://lastfm.freetls.fastly.net/i/u/500x500/dfd047b47d9d585b33422ce62b0a50bc.jpg,12,15,
10,Unorthodox Jukebox,https://lastfm.freetls.fastly.net/i/u/500x500/0def8e755fb7b0db68a4043b4efb51dc.jpg,10,9,
11,Younger Now,https://lastfm.freetls.fastly.net/i/u/500x500/42d1ce13bd83008eb4170de723aee7a4.jpg,11,28,
12,Ray of Light,https://lastfm.freetls.fastly.net/i/u/500x500/00f5dc860a779b57bd71f72e30b03283.jpg,13,25,
13,Dangerous Woman,https://lastfm.freetls.fastly.net/i/u/500x500/69b3acd624cdd19c4a9d5e7e65dfdb28.jpg,14,4,
14,E=MC²,https://lastfm.freetls.fastly.net/i/u/500x500/69340982c2efaa671860da50023276f4.jpg,14,26,
15,Solo,https://lastfm.freetls.fastly.net/i/u/500x500/3bbe6f0fcccddbcb53525ecfe6e098dc.jpg,3,3,
16,LM5,https://lastfm.freetls.fastly.net/i/u/500x500/13aac551a9d219396eaf8ddf839ed01e.jpg,15,23,
17,Revival,https://lastfm.freetls.fastly.net/i/u/500x500/b4e4351135a9c06a00b9d9400c0db566.jpg,14,35,
18,Rare,https://lastfm.freetls.fastly.net/i/u/500x500/1d20088254ce7d8b593a186eb9a5e860.jpg,13,35,
19,1989,https://lastfm.freetls.fastly.net/i/u/500x500/b71ba6cf5881d8cf143e0ad0b4f28d9f.jpg,13,36,
20,reputation,https://lastfm.freetls.fastly.net/i/u/500x500/dddb96a470fecc69d281f45c81a44d2a.jpg,15,36,
21,Lover,https://lastfm.freetls.fastly.net/i/u/500x500/1bdcc0e4dc819089e725da3d8dd854f7.jpg,18,36,
22,111 1,https://lastfm.freetls.fastly.net/i/u/500x500/88f3ca1711d0b7043cf0adfc3708bc2d.jpg,4,30,
23,Não Para Não,https://lastfm.freetls.fastly.net/i/u/500x500/d9039e573a655a0794f3499980603dee.jpg,10,30,
24,Born This Way ,https://lastfm.freetls.fastly.net/i/u/500x500/44900f2f1a4f5a9500a329ba8e075b32.jpg,13,21,
25,Norman Fucking Rockwell,https://lastfm.freetls.fastly.net/i/u/500x500/b66c572f7d89374dd746d7b02fc324b5.jpg,15,22,
26,Sweetener,https://lastfm.freetls.fastly.net/i/u/500x500/cd8c5ce4dad43c822c00dec987d295ca.jpg,13,4,
27,Witness,https://lastfm.freetls.fastly.net/i/u/500x500/8506e2a2c329aed8ec07af8aef539f1b.jpg,15,17,
28,All I Ever Wanted,https://lastfm.freetls.fastly.net/i/u/500x500/2e811705c5b2e54f70558c43c9979511.jpg,14,18,
29,Future Nostalgia,https://lastfm.freetls.fastly.net/i/u/500x500/2a91bc0382f6ab66220be0e79000bc4d.jpg,11,12,
30,111,https://lastfm.freetls.fastly.net/i/u/500x500/e63aec0099677c2a6e83db953a434742.jpg,9,30,
31,Charli,https://lastfm.freetls.fastly.net/i/u/500x500/8837b1b6f6edd46cd9982530d41a2f9b.jpg,15,10,
32,RINA,https://lastfm.freetls.fastly.net/i/u/500x500/cb77e3b22f24aac7ea7369de32cd216c.jpg,6,32,
33,SAWAYAMA,https://lastfm.freetls.fastly.net/i/u/500x500/ae9c25354fcb869ed9b1ff8b8165024d.jpg,13,32,
34,PRISM,https://lastfm.freetls.fastly.net/i/u/500x500/3d48b150743cbe7c1c7fbc3d17914fcd.jpg,13,17,
35,Blue Neighbourhood,https://lastfm.freetls.fastly.net/i/u/500x500/ec73300c86b82c89b599d09b2c074dd4.jpg,15,38,
36,Yours Truly,https://lastfm.freetls.fastly.net/i/u/500x500/c62115e5724a4b5c37355a508043e57a.jpg,12,4,
37,"When We All Fall Asleep, Where Do We Go?",https://lastfm.freetls.fastly.net/i/u/500x500/ee8173de0f04cbbb282fc62a5583fda9.jpg,13,6,
38,Caution,https://lastfm.freetls.fastly.net/i/u/500x500/8acbd6ef60ac70de50488124eafa93ab.jpg,10,26,
39,Confessions On A Dancefloor,https://lastfm.freetls.fastly.net/i/u/500x500/ee25382d66ffd70182ea04b2ba7a8d84.jpg,12,25,
40,ANTI,https://lastfm.freetls.fastly.net/i/u/500x500/766005131fc4319104d97f07680949d7.jpg,16,31,
41,Dona de Mim,https://lastfm.freetls.fastly.net/i/u/500x500/d058f437caac3151473c455d3214369d.jpg,14,14,
42,Glory,https://lastfm.freetls.fastly.net/i/u/500x500/fd0bcf1a57abc2bddfe56e0dcd2782d3.jpg,17,8,
43,Chromatica,https://lastfm.freetls.fastly.net/i/u/500x500/c10ddd30f511a41c1683ef5212e87992.jpg,13,21,
44,Kiss & Tell,https://lastfm.freetls.fastly.net/i/u/500x500/9b35e1288bd0c1f5059264fec4038ad6.jpg,13,35,
45,21,https://lastfm.freetls.fastly.net/i/u/500x500/75075bd01c96465e54fc250b22f83296.jpg,11,1,
46,Animal,https://lastfm.freetls.fastly.net/i/u/500x500/24546ab04aeb584825f465d8968301c4.jpg,14,19,
47,Cannibal,https://lastfm.freetls.fastly.net/i/u/500x500/52e18c5887c1c6c9eecb878dd6854160.jpg,8,19,
48,Arrasando,https://lastfm.freetls.fastly.net/i/u/500x500/d33a4131f5a143f2c3a482b368dbbede.jpg,12,37,
49,folklore,https://lastfm.freetls.fastly.net/i/u/500x500/b8da93ab6d8aa00384998fdae7451d92.jpg,16,36,
50,Ungodly Hour,https://lastfm.freetls.fastly.net/i/u/500x500/9ea0f18690371f374d3ade4c09d2ed09.jpg,11,11,
51,Lemonade,https://lastfm.freetls.fastly.net/i/u/500x500/1b8a01872a46cf711ba94204728a5d69.jpg,11,5,
52,Smile,https://lastfm.freetls.fastly.net/i/u/500x500/292bf6f553ae0f5c45038e92e0936b13.jpg,12,17,
53,Versions of Me,https://lastfm.freetls.fastly.net/i/u/500x500/053259e1a11389272f04f509b6a4032e.jpg,15,3,
54,CRASH,https://lastfm.freetls.fastly.net/i/u/500x500/647da295e6e0696ecfcd73229d5816f3.jpg,12,10,
55,DOCE 22,https://lastfm.freetls.fastly.net/i/u/500x500/d3277dc326ccf292db6aaecd43b465f7.jpg,13,24,
56,Breathe In. Breathe Out.,https://lastfm.freetls.fastly.net/i/u/500x500/578de2c6b99adc9a32760eb1e073cf0a.jpg,12,13,
57,Confetti,https://lastfm.freetls.fastly.net/i/u/500x500/0e9368781136f744a081dd868bf9128a.jpg,13,23,
58,Sour,https://lastfm.freetls.fastly.net/i/u/500x500/6df6b11f6011ecd81f3752cadfc5c107.jpg,11,29,
59,FROOT,https://lastfm.freetls.fastly.net/i/u/500x500/30a137f84ed1cf5ae64cf74b74ed4437.jpg,12,27,
60,4,https://lastfm.freetls.fastly.net/i/u/500x500/7ce6cdae030839cfc16f0b16913a0334.jpg,14,5,
61,Rebel Heart,https://lastfm.freetls.fastly.net/i/u/500x500/2990c38cdb224d41cd7fc26159cd4e36.jpg,19,25,
62,emails i can't send,https://lastfm.freetls.fastly.net/i/u/300x300/3b8b987d87dacf784785de90e25e8eb7.jpg,13,34,
63,Born Pink,https://lastfm.freetls.fastly.net/i/u/500x500/b1da75b2bb4e24371262130c628fc00e.jpg,8,7,
64,RENAISSANCE,https://lastfm.freetls.fastly.net/i/u/500x500/be0d73355d520e5bb627d846a0461bbd.jpg,16,5,
65,Aphrodite,https://lastfm.freetls.fastly.net/i/u/500x500/ff1479d4c6ef4ad3b883d3e1c574055a.jpg,12,20,
66,MOTOMAMI,https://lastfm.freetls.fastly.net/i/u/500x500/10d10dfa634c74ce410c46a0250a1218.jpg,16,33,
67,sin miedo (del amor y otros demonios) ∞,https://lastfm.freetls.fastly.net/i/u/500x500/a2aa0354e06545fb4736694ee8639b89.jpg,13,16,
68,Midnights,https://lastfm.freetls.fastly.net/i/u/500x500/4869ca6fef509baf681c1d3d2a797af7.jpg,13,36,
69,"*Blackout",https://lastfm.freetls.fastly.net/i/u/500x500/14fd482a952674924abffe96b63d2550.jpg,12,8,
70,Sale El Sol,https://lastfm.freetls.fastly.net/i/u/500x500/589cde7b0af859874c9b946fa1d1def8.jpg,15,39,
