id,album,artist,magazine,rating
1,10,9,1,81
2,33,32,2,100
3,29,12,2,98
4,25,22,2,95
5,43,21,2,95
6,52,17,2,89
7,34,17,2,88
8,37,6,2,88
9,38,26,2,88
10,45,1,2,86
11,24,21,2,85
12,40,31,2,85
13,19,36,2,84
14,30,30,2,84
15,21,36,2,81
16,26,4,2,80
17,20,36,2,79
18,23,30,2,79
19,22,30,2,78
20,31,10,2,76
21,17,35,2,74
22,42,8,2,74
23,39,25,2,73
24,18,35,2,65
25,46,19,2,63
26,41,14,2,49
27,35,38,2,30
28,2,4,3,97
29,51,5,3,96
30,33,32,3,95
31,5,21,3,94
32,60,5,3,94
33,32,32,3,93
34,50,11,3,93
35,8,8,3,92
36,64,5,3,91
37,1,26,3,87
38,12,25,3,86
39,36,4,3,86
40,13,4,3,85
41,7,4,3,84
42,42,8,3,84
43,59,27,3,84
44,4,20,3,83
45,38,26,3,80
46,16,23,3,78
47,57,23,3,78
48,14,26,3,76
49,37,6,3,76
50,55,24,3,75
51,19,36,3,74
52,26,4,3,74
53,40,31,3,73
54,41,14,3,69
55,20,36,3,68
56,43,21,3,68
57,52,17,3,68
58,39,25,3,67
59,47,19,3,65
60,49,36,3,59
61,68,36,3,58
62,34,17,3,55
63,46,19,3,54
64,15,3,3,50
65,56,13,3,44
66,44,35,3,15
67,13,4,4,80
68,12,25,4,64
69,2,4,4,59
70,11,28,4,36
71,15,3,4,26
72,32,32,5,100
73,43,21,5,100
74,38,26,5,99
75,48,37,5,96
76,29,12,5,91
77,31,10,5,90
78,24,21,5,89
79,33,32,5,88
80,34,17,5,86
81,5,21,5,83
82,42,8,5,80
83,39,25,5,62
84,11,28,5,52
85,44,35,5,32
86,50,11,6,92
87,51,5,6,88
88,25,22,6,87
89,37,6,6,87
90,45,1,6,87
91,39,25,6,85
92,40,31,6,81
93,17,35,6,75
94,43,21,6,70
95,18,35,6,62
96,42,8,6,62
97,23,30,6,60
98,27,17,6,55
99,52,17,6,55
100,38,26,6,50
101,69,8,6,40
102,44,35,6,18
103,58,29,7,90
104,49,36,7,85
106,68,36,7,83
107,37,6,7,82
108,39,25,7,81
109,47,19,7,81
110,17,35,7,80
111,18,35,7,80
112,19,36,7,80
113,29,12,7,80
114,45,1,7,80
115,21,36,7,79
116,23,30,7,79
117,26,4,7,79
118,46,19,7,79
119,20,36,7,77
120,22,30,7,77
121,66,33,7,77
122,2,4,7,76
123,30,30,7,76
124,43,21,7,76
125,44,35,7,76
126,50,11,7,76
127,51,5,7,76
128,15,3,7,74
129,28,18,7,74
130,34,17,7,74
131,42,8,7,74
132,40,31,7,73
133,54,10,7,73
134,56,13,7,73
135,27,17,7,72
136,41,14,7,72
137,65,20,7,72
138,52,17,7,71
139,62,34,7,71
140,69,8,7,71
141,35,38,7,70
142,36,4,7,70
143,57,23,7,70
144,55,24,7,68
145,38,26,7,66
146,48,37,7,66
147,53,3,7,65
148,33,32,7,63
149,60,5,7,59
150,61,25,7,53
151,31,10,7,0
152,59,27,8,86
153,55,24,8,77
154,29,12,9,100
155,43,21,9,100
156,49,36,9,100
157,25,22,9,95
158,31,10,9,90
159,45,1,9,90
160,19,36,9,86
161,21,36,9,85
162,39,25,9,83
163,20,36,9,82
164,35,38,9,82
165,33,32,9,80
166,40,31,9,79
167,34,17,9,76
168,38,26,9,75
169,18,35,9,70
170,37,6,9,70
171,27,17,9,61
172,17,35,9,60
173,24,21,9,60
174,32,32,9,56
175,22,30,9,55
176,36,4,9,55
177,44,35,9,52
178,42,8,9,45
179,26,4,9,33
180,23,30,9,26
181,41,14,9,22
182,30,30,9,10
183,62,34,10,85
184,68,36,10,83
185,43,21,11,98
186,67,16,11,98
187,53,3,11,93
188,38,26,11,91
189,64,5,11,91
190,24,21,11,87
191,60,5,11,84
192,7,4,11,83
193,15,3,11,83
194,62,34,11,83
195,40,31,11,82
196,54,10,11,82
197,18,35,11,81
198,17,35,11,80
199,2,4,11,78
200,5,21,11,78
201,14,26,11,77
202,34,17,11,75
203,52,17,11,75
204,16,23,11,69
205,42,8,11,62
206,49,36,11,2
207,37,6,12,99
208,34,17,12,93
209,45,1,12,93
210,26,4,12,92
211,28,18,12,89
212,29,12,12,88
213,21,36,12,87
214,25,22,12,86
215,40,31,12,86
216,35,38,12,85
217,20,36,12,84
218,43,21,12,83
219,17,35,12,77
220,31,10,12,77
221,23,30,12,72
222,22,30,12,70
223,41,14,12,70
224,30,30,12,68
225,38,26,12,68
226,24,21,12,67
227,46,19,12,67
228,18,35,12,66
229,66,33,13,96
230,62,34,13,78
231,63,7,13,77
232,60,5,13,68
233,61,25,13,59
234,69,8,13,52
235,59,27,13,45
236,58,29,13,31
237,15,3,14,81
238,16,23,14,78
239,51,5,15,100
240,50,11,15,94
241,22,30,16,100
242,18,35,16,75
243,23,30,16,70
244,45,1,17,86
245,57,23,17,85
246,60,5,17,83
247,47,19,17,78
248,62,34,17,75
249,68,36,17,72
250,58,29,17,70
251,61,25,17,70
252,65,20,17,70
253,67,16,17,70
254,55,24,17,68
255,69,8,17,68
256,52,17,17,65
257,48,37,17,64
258,66,33,17,61
259,59,27,17,59
260,56,13,17,58
261,44,35,17,40
262,46,19,17,40
263,51,5,18,100
264,52,17,18,85
265,49,36,19,96
266,32,32,19,91
267,46,19,19,91
268,33,32,19,88
269,6,36,19,87
270,45,1,19,87
271,16,23,19,86
272,47,19,19,86
273,69,8,19,85
274,65,20,19,84
275,19,36,19,82
276,50,11,19,82
277,67,16,19,82
278,35,38,19,81
279,38,26,19,81
280,1,26,19,79
281,34,17,19,79
282,43,21,19,77
283,62,34,19,77
284,36,4,19,76
285,48,37,19,76
286,68,36,19,76
287,59,27,19,75
288,66,33,19,75
289,2,4,19,72
290,54,10,19,71
291,27,17,19,70
292,42,8,19,70
293,51,5,19,70
294,37,6,19,69
295,61,25,19,69
296,41,14,19,68
297,58,29,19,68
298,30,30,19,66
299,52,17,19,66
300,26,4,19,55
301,63,7,19,52
302,53,3,19,51
303,31,10,19,34
304,44,35,19,29
305,69,8,20,93
306,2,4,20,91
307,9,15,20,91
308,14,26,20,91
309,10,9,20,90
310,13,4,20,89
311,12,25,20,86
312,4,20,20,85
313,1,26,20,83
314,5,21,20,81
315,7,4,20,78
316,3,2,20,73
317,6,36,20,65
318,11,28,20,61
319,9,15,21,94
320,12,25,21,86
321,4,20,21,85
322,8,8,21,85
323,13,4,21,75
324,14,26,21,75
325,1,26,21,73
326,5,21,21,73
327,6,36,21,73
328,7,4,21,67
329,2,4,21,66
330,15,3,21,62
331,16,23,21,61
332,11,28,21,33
333,52,17,22,94
334,25,22,22,90
335,49,36,22,90
336,34,17,22,89
337,43,21,22,89
338,24,21,22,88
339,59,27,22,88
340,64,5,22,86
341,29,12,22,85
342,45,1,22,84
343,31,10,22,83
344,66,33,22,82
345,19,36,22,80
346,35,38,22,80
347,54,10,22,77
348,21,36,22,75
349,47,19,22,75
350,20,36,22,73
351,27,17,22,73
352,55,24,22,73
353,58,29,22,71
354,61,25,22,70
355,22,30,22,67
356,18,35,22,65
357,46,19,22,65
358,26,4,22,58
359,53,3,22,36
360,63,7,22,32
361,69,8,23,98
362,8,8,23,95
363,50,11,23,94
364,2,4,23,91
365,9,15,23,91
366,29,12,23,91
367,4,20,23,90
368,64,5,23,90
369,14,26,23,89
370,1,26,23,88
371,13,4,23,88
372,38,26,23,88
373,42,8,23,88
374,65,20,23,88
375,16,23,23,87
376,30,30,23,87
377,33,32,23,87
378,22,30,23,85
379,36,4,23,84
380,57,23,23,84
381,17,35,23,83
382,20,36,23,83
383,51,5,23,83
