id,name,parent_album,place_in_tracklist,featuring,parent_artist
1,Vision of Love,1,1,,26
2,There's Got to Be a Way,1,2,,26
3,I Don't Wanna Cry,1,3,,26
4,Someday,1,4,,26
5,Vanishing,1,5,,26
6,All in Your Mind,1,6,,26
7,Alone in Love,1,7,,26
8,You Need Me,1,8,,26
9,Sent from Up Above,1,9,,26
10,Prisoner,1,10,,26
11,Love Takes Time,1,11,,26
12,Imagine,2,1,,4
13,Needy,2,2,,4
14,NASA,2,3,,4
15,Bloodline,2,4,,4
16,Fake Smile,2,5,,4
17,Bad Idea,2,6,,4
18,Make Up,2,7,,4
19,Ghostin,2,8,,4
20,In My Head,2,9,,4
21,7 Rings,2,10,,4
22,"Thank U, Next",2,11,,4
23,"Break Up with Your Girlfriend, I'm Bored",2,12,,4
24,Piano & I,3,1,,2
25,Girlfriend,3,2,,2
26,How Come You Don't Call Me,3,3,,2
27,Fallin',3,4,,2
28,Troubles,3,5,,2
29,Rock wit U,3,6,,2
30,A Woman's Worth,3,7,,2
31,Jane Doe,3,8,,2
32,Goodbye,3,9,,2
33,The Life,3,10,,2
34,Mr. Man,3,11,Jimmy Cozier,2
35,Never Felt This Way (interlúdio),3,12,,2
36,Butterflyz,3,13,,2
37,Why Do I Feel So Sad,3,14,,2
38,Caged Bird,3,15,,2
39,Lovin U,3,16,,2
40,More More More,4,1,,20
41,Love at First Sight,4,2,,20
42,Can't Get You Out of My Head,4,3,,20
43,Fever,4,4,,20
44,Give It to Me,4,5,,20
45,Fragile,4,6,,20
46,Come into My World,4,7,,20
47,In Your Eyes,4,8,,20
48,Dancefloor,4,9,,20
49,Love Affair,4,10,,20
50,Your Love,4,11,,20
51,Burning Up,4,12,,20
52,Aura,5,1,,21
53,Venus,5,2,,21
54,G.U.Y.,5,3,,21
55,Sexxx Dreams,5,4,,21
56,Jewels n' Drugs,5,5,"T.I., Too Short, Twista",21
57,Manicure,5,6,,21
58,Do What U Want,5,7,R. Kelly,21
59,Artpop,5,8,,21
60,Swine,5,9,,21
61,Donatella,5,10,,21
62,Fashion!,5,11,,21
63,Mary Jane Holland,5,12,,21
64,Dope,5,13,,21
65,Gypsy,5,14,,21
66,Applause,5,15,,21
67,State of Grace,6,1,,36
68,Red,6,2,,36
69,Treacherous,6,3,,36
70,I Knew You Were Trouble.,6,4,,36
71,All Too Well,6,5,,36
72,22,6,6,,36
73,I Almost Do,6,7,,36
74,We Are Never Ever Getting Back Together,6,8,,36
75,Stay Stay Stay,6,9,,36
76,The Last Time,6,10,Gary Lightbody,36
77,Holy Ground,6,11,,36
78,Sad Beautiful Tragic,6,12,,36
79,The Lucky One,6,13,,36
80,Everything Has Changed,6,14,Ed Sheeran,36
81,Starlight,6,15,,36
82,Begin Again,6,16,,36
83,Intro,7,1,,4
84,Problem,7,2,Iggy Azalea,4
85,One Last Time,7,3,,4
86,Why Try,7,4,,4
87,Break Free,7,5,Zedd,4
88,Best Mistake,7,6,Big Sean,4
89,Be My Baby,7,7,Cashmere Cat,4
90,Break Your Heart Right Back,7,8,Childish Gambino,4
